  x      y     z      t      dx      dy      dz      dt      p         dp        n
  350.0    320.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    320.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    320.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    310.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    310.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    310.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    310.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    275.159     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    275.159     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    275.159     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    275.159     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    270.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    270.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    270.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    270.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    260.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    260.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    260.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    260.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    250.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    250.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    250.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    250.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    214.41     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    214.41     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    214.41     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    214.41     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    210.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    210.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    210.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    210.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    200.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    200.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    200.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    200.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    190.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    190.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    190.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    190.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    153.66     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    153.66     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    153.66     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    153.66     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    150.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    150.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    150.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    150.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    140.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    140.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    140.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    140.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    130.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    130.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    130.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    130.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    92.9099     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    92.9099     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    92.9099     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    92.9099     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    90.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    90.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    90.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    90.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    80.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    80.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    80.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    80.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    70.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    70.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    70.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    70.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    32.16     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    32.16     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    32.16     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    32.16     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    30.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    30.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    30.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    30.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    20.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    20.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    20.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    20.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    10.0     427.071     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    10.0     377.921     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    10.0     316.671     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
  350.0    10.0     267.521     0.0     0.0     0.0     0.0     0.0     9.69     0.25     100000
