idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
61,B_mid_truth_600k_1100k,20,46.703,1308.67,46.703,1.03907e+06,1.07326e+06,1.0329,10000000,25.3842,130.853,3779,336524,3779
62,B_mid_truth_600k_1100k,20,46.703,1429.46,46.703,1.00694e+06,1.0585e+06,1.0512,10000000,25.3842,131.529,3759,335503,3759
63,B_mid_truth_600k_1100k,20,46.703,1541.06,46.703,1.03999e+06,1.0733e+06,1.03203,10000000,25.3842,130.852,3739,336729,3739
64,B_mid_truth_600k_1100k,20,46.703,1661.85,46.703,1.0061e+06,1.05851e+06,1.05209,10000000,25.3842,131.476,3719,335215,3719
65,B_mid_truth_600k_1100k,20,46.703,1773.45,46.703,1.03877e+06,1.0733e+06,1.03324,10000000,25.3842,131.087,3699,335305,3699
66,B_mid_truth_600k_1100k,20,46.703,1894.24,46.703,1.00703e+06,1.05851e+06,1.05112,10000000,25.3842,131.616,3679,335326,3679
67,B_mid_truth_600k_1100k,20,46.703,2005.84,46.703,1.03937e+06,1.0733e+06,1.03264,10000000,25.3842,130.738,3659,336454,3659
68,B_mid_truth_600k_1100k,20,46.703,2126.63,46.703,1.00706e+06,1.05851e+06,1.05109,10000000,25.3842,131.529,3639,335736,3639
69,B_mid_truth_600k_1100k,20,46.703,2238.23,46.703,1.03848e+06,1.0733e+06,1.03353,10000000,25.3842,131.115,3619,335247,3619
70,B_mid_truth_600k_1100k,20,46.703,2359.02,46.703,1.00565e+06,1.05851e+06,1.05257,10000000,25.3842,131.567,3599,334750,3599
71,B_mid_truth_600k_1100k,20,46.703,2470.62,46.703,1.03983e+06,1.0733e+06,1.03219,10000000,25.3842,130.851,3579,336147,3579
72,B_mid_truth_600k_1100k,20,46.703,2591.41,46.703,1.00535e+06,1.05851e+06,1.05288,10000000,25.3842,131.606,3559,334123,3559
73,B_mid_truth_600k_1100k,20,46.703,2703.01,46.703,1.03748e+06,1.0733e+06,1.03453,10000000,25.3842,131.044,3539,335525,3539
74,B_mid_truth_600k_1100k,20,46.703,2823.8,46.703,1.00588e+06,1.05851e+06,1.05233,10000000,25.3842,131.584,3519,335057,3519
75,B_mid_truth_600k_1100k,20,46.703,2935.4,46.703,1.03764e+06,1.0733e+06,1.03436,10000000,25.3842,130.896,3499,336111,3499
76,B_mid_truth_600k_1100k,20,46.703,3056.19,46.703,1.00609e+06,1.05851e+06,1.0521,10000000,25.3842,131.681,3479,334912,3479
77,B_mid_truth_600k_1100k,20,46.703,3167.79,46.703,1.03948e+06,1.0733e+06,1.03254,10000000,25.3842,130.818,3459,335778,3459
78,B_mid_truth_600k_1100k,20,46.703,3288.58,46.703,1.00622e+06,1.05851e+06,1.05196,10000000,25.3842,131.422,3439,334839,3439
79,B_mid_truth_600k_1100k,20,46.703,3400.18,46.703,1.03815e+06,1.0733e+06,1.03386,10000000,25.3842,130.738,3419,336353,3419
80,B_mid_truth_600k_1100k,20,46.703,3520.97,46.703,1.00589e+06,1.05851e+06,1.05231,10000000,25.3842,131.362,3399,335015,3399
81,B_mid_truth_600k_1100k,20,46.703,3632.57,46.703,1.03878e+06,1.0733e+06,1.03323,10000000,25.3842,130.717,3379,336337,3379
82,B_mid_truth_600k_1100k,20,46.703,3753.36,46.703,1.00632e+06,1.05851e+06,1.05186,10000000,25.3842,131.356,3359,335439,3359
83,B_mid_truth_600k_1100k,20,46.703,3864.96,46.703,1.03782e+06,1.0733e+06,1.03418,10000000,25.3842,130.787,3339,335867,3339
84,B_mid_truth_600k_1100k,20,46.703,3985.75,46.703,1.00751e+06,1.05851e+06,1.05062,10000000,25.3842,131.591,3319,335009,3319
85,B_mid_truth_600k_1100k,20,46.703,4097.35,46.703,1.03784e+06,1.0733e+06,1.03416,10000000,25.3842,131.006,3299,335237,3299
86,B_mid_truth_600k_1100k,20,46.703,4218.14,46.703,1.00561e+06,1.05851e+06,1.05261,10000000,25.3842,131.349,3279,335932,3279
87,B_mid_truth_600k_1100k,20,46.703,4329.74,46.703,1.04038e+06,1.0733e+06,1.03164,10000000,25.3842,130.913,3259,336860,3259
88,B_mid_truth_600k_1100k,20,46.703,4450.53,46.703,1.00612e+06,1.05848e+06,1.05205,10000000,25.3842,131.242,3239,335911,3239
89,B_mid_truth_600k_1100k,20,46.703,4562.13,46.703,1.03916e+06,1.07322e+06,1.03278,10000000,25.3842,130.958,3219,336284,3219
